title	type	url_slug	venue	date	location	talk_url	description
On Link Prediction in Knowledge Bases: Max-K Criterion and Prediction Protocols	Talk	Baidu-max-k	Palace Garden Hotel and Resorts (朗丽兹西山花园酒店)	2018-06-10	Beijing, China		This talk was part of the meeting (AIS2018) held by Chinese Information Processing Society of China, Youth Working Committee and Baidu. Some authors who published papers on ACL2018, IJCAI2018 or SIGIR2018 shared their work in this meeting. I was there to present our SIGIR2018 paper. [[Slide]](http://jiajie-mei.github.io/files/2018-06-10-max-k-baidu.pptx)
On Link Prediction in Knowledge Bases: Max-K Criterion and Prediction Protocols	Talk	Sigir-maxk	Michigan League, University of Michigan	2018-07-11	Ann Arbor, USA		This is the oral presentation in SIGIR2018 conference. [[Slide]](http://jiajie-mei.github.io/files/2018-07-11-max-k-sigir.pptx)
